Model,Fold,Accuracy,Precision,Recall,F1,Specificity,MCC
kNN,1,0.9248833068668495,0.9421477785697315,0.8807329261521377,0.9104057854560065,0.9586447010869565,0.8472893568631841
kNN,2,0.926615658534238,0.9456625357483317,0.8812881732370905,0.9123412082542968,0.9612771739130435,0.8509293169366946
kNN,3,0.9294066695539195,0.9456136202411918,0.8881732370905053,0.9159938154956193,0.9609375,0.8564717151759814
kNN,4,0.929021702516722,0.9438811601037491,0.8890616324264298,0.915651626922857,0.959578804347826,0.855619046925042
kNN,5,0.9251684311838306,0.9404114447860015,0.8832870627429206,0.9109545897039455,0.9571974522292994,0.8477691140334106
Naive Bayes,1,0.8489485587796545,0.8368940960257294,0.809106052193226,0.8227655129580487,0.8794157608695652,0.6915212968291301
Naive Bayes,2,0.8461575477599731,0.8299250170415815,0.8112159911160466,0.8204638625259729,0.8728770380434783,0.6860487186577338
Naive Bayes,3,0.850536547808094,0.8319639842431064,0.8208772903942254,0.8263834544438233,0.8732167119565217,0.6952321623513563
Naive Bayes,4,0.8525095038737308,0.8316212594908441,0.8270960577456968,0.8293524859417627,0.8719429347826086,0.6994948822142052
Naive Bayes,5,0.8439364773820982,0.8270890099909174,0.8089950027762354,0.8179419525065963,0.8706581740976646,0.6815342104363388
Logistic Regression,1,0.8775804821712141,0.8785890073831009,0.8325374791782343,0.8549435511460828,0.9120244565217391,0.7499945808844296
Logistic Regression,2,0.8717578557336028,0.8651232434922829,0.8340921710161021,0.8493243625261492,0.9005604619565217,0.7381390259365992
Logistic Regression,3,0.8769067898561186,0.8688637143837967,0.8431982232093281,0.8558385933273219,0.9026834239130435,0.7487390725835685
Logistic Regression,4,0.8761849766613734,0.8705923023738189,0.8389783453636869,0.8544930158909687,0.9046365489130435,0.7471924887581329
Logistic Regression,5,0.8736284889316651,0.870915222700314,0.8316490838423098,0.8508293569643263,0.9057324840764331,0.7419064519185387
LSVM,1,0.8771473942543669,0.8789943609022557,0.8308717379233759,0.8542558657304333,0.9125339673913043,0.7491111411518832
LSVM,2,0.8701698667051634,0.8653690186536902,0.8294280955024986,0.8470174642776139,0.9013247282608695,0.734839616808423
LSVM,3,0.8766180645782204,0.870044812133747,0.8408661854525263,0.8552066862435057,0.9039572010869565,0.7481041383583898
LSVM,4,0.8756556469852269,0.8702571791027564,0.8379789006107718,0.8538130798823264,0.9044667119565217,0.7461029163435715
LSVM,5,0.8723772858517805,0.870092042409414,0.829317046085508,0.8492153741187173,0.905307855626327,0.7393360687708485
RBF SVM,1,0.953082142341562,0.959487296864271,0.9310383120488618,0.9450487516203573,0.9699388586956522,0.9044429555889749
RBF SVM,2,0.9515903950724219,0.9561993840538383,0.9309272626318712,0.9433941030835021,0.967391304347826,0.9013673361759833
RBF SVM,3,0.9544295269717531,0.9579449874971584,0.9359244863964464,0.9468067179688816,0.9685801630434783,0.9071451901604661
RBF SVM,4,0.9521197247485684,0.9563582497721057,0.9320377568017768,0.9440413924976098,0.9674762228260869,0.9024419698531101
RBF SVM,5,0.951395572666025,0.9572229211940981,0.9293725707940034,0.9430921794004958,0.9682377919320595,0.9009917301977546
Random Forest,1,0.9631394061883451,0.9744327997235979,0.9395891171571349,0.956693803708729,0.9811480978260869,0.9250916555795592
Random Forest,2,0.9617439006785043,0.972926267281106,0.937812326485286,0.9550466497031382,0.9800441576086957,0.9222423136091078
Random Forest,3,0.9642943072999375,0.9719017704169046,0.9449194891726819,0.9582207207207207,0.979110054347826,0.9273377492606049
Random Forest,4,0.9624657138732496,0.9701611981250714,0.9423653525818989,0.9560612888688599,0.9778362771739131,0.9236111950395458
Random Forest,5,0.9613570741097209,0.972356599861783,0.9374791782343143,0.9545994233052525,0.9796178343949045,0.921448175397757
MLP,1,0.9572205379914345,0.959986397642258,0.9404775124930594,0.9501318225164077,0.9700237771739131,0.9128309627280483
MLP,2,0.9557287907222944,0.9580736543909348,0.9389228206551916,0.9484015703869882,0.9685801630434783,0.909784447562851
MLP,3,0.9593859775756701,0.9576090613435012,0.9482509716823987,0.9529070416248187,0.9679008152173914,0.9172405324204546
MLP,4,0.9596747028535682,0.9635599954591895,0.9425874514158801,0.9529583473672393,0.9727411684782609,0.9178487901774972
MLP,5,0.9531280076997113,0.940054794520548,0.9525818989450305,0.946276889134032,0.9535456475583864,0.9047718380177321
XGBoost,1,0.962850680910447,0.9704033824705748,0.9430316490838423,0.9565217391304348,0.9780061141304348,0.9243927665574373
XGBoost,2,0.9616957797988547,0.9702142284339558,0.9404775124930594,0.9551144693808503,0.977921195652174,0.9220621883861035
XGBoost,3,0.964823636976084,0.9721524766035152,0.9459189339255969,0.958856306635898,0.9792798913043478,0.9284104875767379
XGBoost,4,0.9642943072999375,0.9717939933767272,0.9450305385896725,0.958225425064745,0.9790251358695652,0.9273351820361451
XGBoost,5,0.9606352261790183,0.9667084710979363,0.941588006662965,0.953982898289829,0.9752016985138005,0.9198437597440554
