,combined_shap,cumulative_pct
Inflight wifi service,0.19370197345325174,19.37
Type of Travel,0.1839539903170791,37.77
Online boarding,0.11215224529189699,48.98
Customer Type,0.08807796945980101,57.79
Class,0.0721912071644909,65.01
Inflight entertainment,0.03544044026925969,68.55
Baggage handling,0.03282115100541847,71.83
Seat comfort,0.02978863235283476,74.81
Inflight service,0.029546642758653208,77.77
Checkin service,0.028746006886689622,80.64
Leg room service,0.02693949431561291,83.34
Ease of Online booking,0.023678910526297663,85.7
Cleanliness,0.02238486871505771,87.94
On-board service,0.022109360844094955,90.15
Gate location,0.021184189177754886,92.27
Age,0.019582549890720766,94.23
Arrival Delay in Minutes,0.01650874457315772,95.88
Flight Distance,0.014299333997516667,97.31
Departure/Arrival time convenient,0.009892764391591273,98.3
Food and drink,0.008387366835361731,99.14
Departure Delay in Minutes,0.005852499971665785,99.72
Gender,0.0027596330635364466,100.0
