Model,Fold,Accuracy,Precision,Recall,F1,Specificity,MCC
kNN,1,0.9384533949280592,0.9582443653618031,0.8970571904497502,0.9266418124462289,0.970108695652174,0.8751411262559728
kNN,2,0.9375390982147154,0.9574973287427282,0.8956135480288728,0.9255221482671563,0.9695991847826086,0.8732853273582296
kNN,3,0.9393676916414032,0.9554274961778196,0.9021654636313159,0.9280328992460589,0.9678158967391305,0.8768005242972249
kNN,4,0.9398489004379,0.9569829110194461,0.9017212659633537,0.9285305889079474,0.9690047554347826,0.8778381075182056
kNN,5,0.9346487006737247,0.9558841063550734,0.890283176013326,0.921918123275069,0.9685774946921444,0.8674680456349447
Naive Bayes,1,0.8564554160050045,0.847209409594096,0.8158800666296502,0.8312496464332183,0.8874830163043478,0.7068162944332927
Naive Bayes,2,0.8512583610028391,0.8360227272727273,0.8169905607995558,0.8263970794720584,0.8774626358695652,0.6964595025125909
Naive Bayes,3,0.857754679755546,0.8409423965731033,0.8284286507495836,0.834638621615574,0.8801800271739131,0.7099128760991573
Naive Bayes,4,0.8597276358211828,0.8408327736736064,0.8342032204330927,0.8375048776408941,0.8792459239130435,0.714128902252868
Naive Bayes,5,0.8524542829643889,0.8391001484526665,0.8159911160466408,0.8273843035694178,0.8803397027600849,0.6988015104750731
Logistic Regression,1,0.8760887349020741,0.8752334267040149,0.8327595780122155,0.8534683890058613,0.9092221467391305,0.7469354266252451
Logistic Regression,2,0.8693036908714691,0.861644623346751,0.8319822320932815,0.8465536723163842,0.897843070652174,0.7331343783577348
Logistic Regression,3,0.8748857129108321,0.8663768447546047,0.8409772348695169,0.853488109996619,0.9008152173913043,0.7446108557775367
Logistic Regression,4,0.8748857129108321,0.8678075111978868,0.8390893947806775,0.8532068654019873,0.9022588315217391,0.7445659164883914
Logistic Regression,5,0.8712223291626564,0.8671539621765866,0.8299833425874514,0.848161597821153,0.90276008492569,0.736989267646516
LSVM,1,0.8752706799480294,0.8761290322580645,0.8294280955024986,0.8521391899600684,0.9103260869565217,0.7452579479929371
LSVM,2,0.8694480535104182,0.8629441624365483,0.8306496390893948,0.8464889945114016,0.8991168478260869,0.7333973941226049
LSVM,3,0.8742601414753862,0.8665137614678899,0.8390893947806775,0.8525811001410437,0.9011548913043478,0.7433030582159501
LSVM,4,0.8745488667532842,0.8682090239410681,0.8376457523598001,0.8526535918159724,0.9027683423913043,0.74385536905103
LSVM,5,0.8696342637151107,0.8658763365876336,0.827318156579678,0.8461582145493781,0.9019957537154989,0.7337266488932414
RBF SVM,1,0.9557287907222944,0.9643882825962091,0.9322598556357579,0.948051948051948,0.9736752717391305,0.909896337252751
RBF SVM,2,0.9528896588229633,0.9594687428440577,0.9305941143808995,0.944810868707368,0.9699388586956522,0.9040539067619165
RBF SVM,3,0.9569318127135364,0.9626882701962575,0.9369239311493615,0.949631380494119,0.9722316576086957,0.9122833629064507
RBF SVM,4,0.9539001972956066,0.9611461318051576,0.9312604108828428,0.9459672870840383,0.9712126358695652,0.9061303141184976
RBF SVM,5,0.9538017324350336,0.9628351167874813,0.9292615213770128,0.945750452079566,0.9725690021231422,0.905977022413938
Random Forest,1,0.9581829555844281,0.9647018505825908,0.937812326485286,0.95106706458697,0.9737601902173914,0.9148503392700692
Random Forest,2,0.9559212742408931,0.9619645916619075,0.935258189894503,0.9484234234234235,0.9717221467391305,0.9102275028923819
Random Forest,3,0.9579423511861797,0.9603668893670027,0.9418101054969461,0.9509979816102265,0.9702785326086957,0.9143003958569286
Random Forest,4,0.9558731533612435,0.9613278576317591,0.9358134369794558,0.9483990771481627,0.9712126358695652,0.9101184270573809
Random Forest,5,0.9560635226179018,0.9618721461187215,0.9357023875624653,0.9486068111455108,0.9716348195329088,0.9105142558068674
MLP,1,0.9567393291949376,0.9640485459125258,0.9350360910605219,0.9493207057895033,0.9733355978260869,0.9119232706430281
MLP,2,0.9568836918338868,0.9632126128184623,0.9362576346474181,0.9495438675526523,0.97265625,0.9121963306095011
MLP,3,0.9582310764640778,0.9569807929911266,0.9461410327595781,0.9515300424391333,0.9674762228260869,0.9148822535960032
MLP,4,0.9574611423896828,0.9607398161806422,0.9402554136590783,0.950387248849478,0.9706182065217391,0.9133268104025147
MLP,5,0.9574590952839268,0.9649604946753693,0.9358134369794558,0.950163490810689,0.9740127388535031,0.9133969532251736
XGBoost,1,0.9617439006785043,0.9724907918968693,0.9382565241532482,0.9550669756400837,0.9797044836956522,0.922227479337002
XGBoost,2,0.9603483951686637,0.9683957402954311,0.9391449194891727,0.953546059307701,0.9765625,0.9193021601796374
XGBoost,3,0.9628988017900967,0.9713762308220747,0.9421432537479179,0.95653644512092,0.9787703804347826,0.9245142528528066
XGBoost,4,0.9617920215581541,0.9705444126074498,0.9403664630760689,0.9552171460800902,0.9781759510869565,0.9222648025576442
XGBoost,5,0.9616458132820019,0.9721583064887253,0.9383675735702388,0.9549641182121263,0.979447983014862,0.9220206472293102
